"PKDATAROWID","FLGEXKEL","FLGEXAUC","FLGEXSDE","FLGEXST","PKRCOM","PKPCOM","FLGTIME"
1,1,0,0,0,NA,NA,"ACTUAL"
2,1,0,0,0,NA,NA,"ACTUAL"
3,1,0,0,0,NA,NA,"ACTUAL"
4,1,0,0,0,NA,NA,"ACTUAL"
5,1,0,0,0,NA,NA,"ACTUAL"
6,1,0,0,0,NA,NA,"ACTUAL"
7,1,0,0,0,NA,NA,"ACTUAL"
8,1,0,0,0,NA,NA,"ACTUAL"
10,0,0,0,0,NA,NA,"ACTUAL"
12,1,0,0,0,NA,NA,"ACTUAL"
13,0,0,0,0,NA,NA,"ACTUAL"
15,0,0,0,0,NA,NA,"ACTUAL"
16,1,0,0,0,NA,NA,"ACTUAL"
17,1,0,0,0,NA,NA,"ACTUAL"
18,1,0,0,0,NA,NA,"ACTUAL"
19,1,0,0,0,NA,NA,"ACTUAL"
20,1,0,0,0,NA,NA,"ACTUAL"
21,1,0,0,0,NA,NA,"ACTUAL"
22,1,0,0,0,NA,NA,"ACTUAL"
23,1,0,0,0,NA,NA,"ACTUAL"
24,1,0,0,0,NA,NA,"ACTUAL"
25,0,0,0,0,NA,NA,"ACTUAL"
26,1,0,0,0,NA,NA,"ACTUAL"
27,0,0,0,0,NA,NA,"ACTUAL"
28,0,0,0,0,NA,NA,"ACTUAL"
29,1,0,0,0,NA,NA,"ACTUAL"
30,1,0,0,0,NA,NA,"ACTUAL"
31,1,0,0,0,NA,NA,"ACTUAL"
32,1,0,0,0,NA,NA,"ACTUAL"
33,1,0,0,0,NA,NA,"ACTUAL"
34,1,0,0,0,NA,NA,"ACTUAL"
35,1,0,0,0,NA,NA,"ACTUAL"
36,1,0,0,0,NA,NA,"ACTUAL"
37,1,0,0,0,NA,NA,"ACTUAL"
39,0,0,0,0,NA,NA,"ACTUAL"
41,1,0,0,0,NA,NA,"ACTUAL"
42,0,0,0,0,NA,NA,"ACTUAL"
44,0,0,0,0,NA,NA,"ACTUAL"
45,1,0,0,0,NA,NA,"ACTUAL"
46,1,0,0,0,NA,NA,"ACTUAL"
47,1,0,0,0,NA,NA,"ACTUAL"
48,1,0,0,0,NA,NA,"ACTUAL"
49,1,0,0,0,NA,NA,"ACTUAL"
50,1,0,0,0,NA,NA,"ACTUAL"
51,1,0,0,0,NA,NA,"ACTUAL"
52,1,0,0,0,NA,NA,"ACTUAL"
53,1,0,0,0,NA,NA,"ACTUAL"
55,0,0,0,0,NA,NA,"ACTUAL"
57,1,0,0,0,NA,NA,"ACTUAL"
58,0,0,0,0,NA,NA,"ACTUAL"
60,0,0,0,0,NA,NA,"ACTUAL"
61,1,0,0,0,NA,NA,"ACTUAL"
62,1,0,0,0,NA,NA,"ACTUAL"
63,1,0,0,0,NA,NA,"ACTUAL"
64,1,0,0,0,NA,NA,"ACTUAL"
65,1,0,0,0,NA,NA,"ACTUAL"
66,1,0,0,0,NA,NA,"ACTUAL"
67,1,0,0,0,NA,NA,"ACTUAL"
68,1,0,0,0,NA,NA,"ACTUAL"
69,1,0,0,0,NA,NA,"ACTUAL"
71,0,0,0,0,NA,NA,"ACTUAL"
73,1,0,0,0,NA,NA,"ACTUAL"
74,1,0,0,0,NA,NA,"ACTUAL"
76,1,0,0,0,NA,NA,"ACTUAL"
77,1,0,0,0,NA,NA,"ACTUAL"
78,1,0,0,0,NA,NA,"ACTUAL"
79,1,0,0,0,NA,NA,"ACTUAL"
80,1,0,0,0,NA,NA,"ACTUAL"
81,1,0,0,0,NA,NA,"ACTUAL"
82,1,0,0,0,NA,NA,"ACTUAL"
83,1,0,0,0,NA,NA,"ACTUAL"
84,1,0,0,0,NA,NA,"ACTUAL"
85,1,0,0,0,NA,NA,"ACTUAL"
86,0,0,0,0,NA,NA,"ACTUAL"
87,1,0,0,0,NA,NA,"ACTUAL"
88,0,0,0,0,NA,NA,"ACTUAL"
89,1,0,0,0,NA,NA,"ACTUAL"
90,1,0,0,0,NA,NA,"ACTUAL"
91,1,0,0,0,NA,NA,"ACTUAL"
92,1,0,0,0,NA,NA,"ACTUAL"
93,1,0,0,0,NA,NA,"ACTUAL"
94,1,0,0,0,NA,NA,"ACTUAL"
95,1,0,0,0,NA,NA,"ACTUAL"
96,1,0,0,0,NA,NA,"ACTUAL"
97,1,0,0,0,NA,NA,"ACTUAL"
98,1,0,0,0,NA,NA,"ACTUAL"
99,1,0,0,0,NA,NA,"ACTUAL"
100,1,0,0,0,NA,NA,"ACTUAL"
101,1,0,0,0,NA,NA,"ACTUAL"
102,1,0,0,0,NA,NA,"ACTUAL"
103,1,0,0,0,NA,NA,"ACTUAL"
104,1,0,0,0,NA,NA,"ACTUAL"
105,1,0,0,0,NA,NA,"ACTUAL"
106,1,0,0,0,NA,NA,"ACTUAL"
108,0,0,0,0,NA,NA,"ACTUAL"
109,0,0,0,0,NA,NA,"ACTUAL"
111,1,0,0,0,NA,NA,"ACTUAL"
112,1,0,0,0,NA,NA,"ACTUAL"
113,0,0,0,0,NA,NA,"ACTUAL"
114,0,0,0,0,NA,NA,"ACTUAL"
116,0,0,0,0,NA,NA,"ACTUAL"
117,0,0,0,0,NA,NA,"ACTUAL"
118,1,0,0,0,NA,NA,"ACTUAL"
